1,1,1,16,1,1210854977,362565571,119323297,55477094,728966109,60709399
1,1,1,16,2,623270258,273209976,58729899,33541669,291330383,24670272
1,1,1,16,3,587584719,89355595,60593398,21935425,437635726,36039127
2,1,1,1,1,126928126,1108808,1424830,328654,124394488,1084783
2,1,1,1,2,66300466,630875,735197,178149,64934394,576354
2,1,1,1,3,60627660,477933,689633,150505,59460094,508429
3,1,1,2,1,132709212,3244439,4350586,1263407,125114187,2853891
3,1,1,2,2,69418835,2033172,2229671,726515,65155992,1577333
3,1,1,2,3,63290377,1211267,2120915,536892,59958195,1276558
4,1,1,3,1,120526449,17703310,12513070,6501739,90310069,15134928
4,1,1,3,2,63982396,12721891,6975789,4165965,44284716,8423500
4,1,1,3,3,56544053,4981419,5537281,2335774,46025353,6711428
5,1,1,4,1,111424222,38664170,16800190,9578750,55959862,15763566
5,1,1,4,2,57584693,28977411,9021117,6126314,19586165,7602474
5,1,1,4,3,53839529,9686759,7779073,3452436,36373697,8161092
6,1,1,5,1,101413965,48666298,15793613,8560839,36954054,9133775
6,1,1,5,2,51344208,36901575,7931898,5250800,6510735,3057158
6,1,1,5,3,50069757,11764723,7861715,3310039,30443319,6076617
7,1,1,6,1,88594951,47152411,13634912,6956395,27807628,5101348
7,1,1,6,2,44660674,35600323,6348919,4069257,2711432,1115810
7,1,1,6,3,43934277,11552088,7285993,2887138,25096196,3985538
8,1,1,7,1,85140684,47503671,12905159,6337718,24731854,3839253
8,1,1,7,2,42919381,35372529,5799301,3618140,1747551,595714
8,1,1,7,3,42221303,12131142,7105858,2719578,22984303,3243539
9,1,1,8,1,134756439,77295643,19276896,8601272,38183900,4210096
9,1,1,8,2,69683500,58397073,8615203,4954681,2671224,652220
9,1,1,8,3,65072939,18898570,10661693,3646591,35512676,3557876
10,1,1,9,1,88215309,47440004,11602976,4270417,29172329,1870576
10,1,1,9,2,45299278,36456219,5228122,2498131,3614937,414608
10,1,1,9,3,42916031,10983785,6374854,1772286,25557392,1455968
11,1,1,10,1,64118690,23840363,7635219,2241529,32643108,1174598
11,1,1,10,2,31646075,18216604,3870907,1398142,9558564,421518
11,1,1,10,3,32472615,5623759,3764312,843387,23084544,753080
12,1,1,11,1,28441345,6917739,2301307,515953,19222299,319143
12,1,1,11,2,14142102,5560331,1363908,351926,7217863,133677
12,1,1,11,3,14299243,1357408,937399,164027,12004436,185466
13,1,1,12,1,11289005,1850952,647762,157989,8790291,115186
13,1,1,12,2,5283695,1463786,380016,102790,3439893,46788
13,1,1,12,3,6005310,387166,267746,55199,5350398,68398
14,1,1,13,1,4489802,1177763,436777,162432,2875262,108256
14,1,1,13,2,2372881,878187,229851,100859,1264843,53118
14,1,1,13,3,2116921,299576,206926,61573,1610419,55138
15,1,1,14,1,730072019,324425507,102526816,50807130,303119696,55053542
15,1,1,14,2,375474130,244427021,49920349,30683288,81126760,21861484
15,1,1,14,3,354597889,79998486,52606467,20123842,221992936,33192058
16,1,1,15,1,103849040,32609054,10584288,2915471,60655698,1608927
16,1,1,15,2,51071872,25240721,5614831,1852858,20216320,601983
16,1,1,15,3,52777168,7368333,4969457,1062613,40439378,1006944
17,1,2,16,1,966257353,297849057,98735783,45430840,569672513,46314754
17,1,2,16,2,498306968,221132460,47489072,27083901,229685436,19161172
17,1,2,16,3,467950385,76716597,51246711,18346939,339987077,27153582
18,1,2,1,1,98842302,870742,1100032,246398,96871528,783608
18,1,2,1,2,51752264,492887,566978,133224,50692399,416910
18,1,2,1,3,47090038,377855,533054,113174,46179129,366698
19,1,2,2,1,104107800,2497075,3404796,955916,98205929,2009165
19,1,2,2,2,54573129,1519841,1716891,537161,51336397,1107847
19,1,2,2,3,49534671,977234,1687905,418755,46869532,901318
20,1,2,3,1,94463520,13779347,9974918,5126893,70709255,11395664
20,1,2,3,2,50425235,9645661,5448150,3234049,35331424,6440593
20,1,2,3,3,44038285,4133686,4526768,1892844,35377831,4955071
